number,value,datetime_start,datetime_complete,duration,params_approach_bonus_base,params_dead_end_penalty,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_down_opening_bonus,params_enemy_door_penalty,params_ladder_bonus,params_max_kept_repairs,params_own_door_bonus,params_retreat_penalty,params_side_step_bonus,state
49,1.2221897810218978,2026-05-10 18:20:47.716531,2026-05-10 18:20:55.600638,0 days 00:00:07.884107,93.35874483042055,27.575581508172025,16.109647179729237,62.861689431467106,-26.130794891870746,-6.580129803097976,-49.11071195401253,-19.0008163451417,84.58694272411432,-19.308958094570045,21.57127215446581,18.29045650237166,45.83022007079008,1,10.71005972239486,63.24524127329774,6.744807532508545,COMPLETE
50,1.2143332794569257,2026-05-10 18:20:55.600681,2026-05-10 18:21:03.388991,0 days 00:00:07.788310,82.6986136010139,41.05709897483956,19.085243143473132,70.66006596757026,-33.40437906295303,-21.70803868552697,-3.803285861625117,-14.269934502422252,90.63241328024395,-6.644400365019484,46.95185362354076,11.649152609641101,39.142320740432126,2,3.2535213087340935,73.6780928606862,1.7923691095342178,COMPLETE
51,1.30545172103671,2026-05-10 18:21:03.389036,2026-05-10 18:21:11.173831,0 days 00:00:07.784795,40.74799912879783,21.97449688383547,-7.280169749173453,53.57024024366632,-12.163142833282857,-12.749976710249591,-32.66719640739521,-35.18674226417616,89.76889970247983,-12.554609692331693,19.065127948148696,16.26467975299904,26.353169779760197,0,13.48144251743138,48.71743630663408,2.890961665921979,COMPLETE
52,1.1972114458660064,2026-05-10 18:21:11.173874,2026-05-10 18:21:18.582915,0 days 00:00:07.409041,37.807649917385845,22.839482452121032,-7.258118025795488,58.234287590114825,-14.301659206312388,-13.702169868160883,-31.425170129426863,-29.781216443959426,96.93696231993648,-17.86046874282511,18.62738145982737,15.50478298661277,24.224642956163372,0,13.014285730786689,54.730254343322116,2.63051386659059,COMPLETE
53,1.2562960533508254,2026-05-10 18:21:18.582955,2026-05-10 18:21:26.039078,0 days 00:00:07.456123,31.80624754012966,20.027119548683515,14.230800093063152,33.617568274243474,-11.065487148635153,-9.031245978678145,-33.90965268412044,-42.64562086111418,93.3891737113311,-11.729306440185734,15.553590133540261,13.57996168933653,27.76798226548237,0,14.310766607879408,43.00271562533908,4.876376989236491,COMPLETE
54,1.1586871470643862,2026-05-10 18:21:26.039117,2026-05-10 18:21:33.891942,0 days 00:00:07.852825,33.65320407405475,30.92507532285206,21.744474216034426,33.394343389655106,-8.621750922379855,-8.491995073447422,-25.711136246695943,-34.634676929717045,88.60281382160775,-14.784012328006288,15.224156606200257,14.193352667592766,28.101816562736975,0,10.944879592293445,43.01454746125562,4.924938694324908,COMPLETE
55,1.230219298245614,2026-05-10 18:21:33.891984,2026-05-10 18:21:41.556278,0 days 00:00:07.664294,44.24318236518204,26.75802953083179,14.496493914962961,37.22264503428588,-11.308908553224203,-2.257356294200287,-37.15409835137342,-27.21380384326367,93.5724187122284,-12.051215068616651,11.947046217353094,10.804902518576693,18.861664300467112,0,9.250100677410323,32.42384768407525,6.367422403202777,COMPLETE
56,1.2587403843540188,2026-05-10 18:21:41.556318,2026-05-10 18:21:48.964974,0 days 00:00:07.408656,30.211740102630845,34.24632563792372,24.608382050131972,66.86567922983498,-13.339288195651985,-12.062755819425574,-28.96276531500838,-39.57614455192375,82.26814528841182,-14.186784060003044,25.292251168544784,12.547626517659918,26.74239334536681,0,11.648453281620164,68.59890648013192,0.4646091684377319,COMPLETE
57,1.267761830982087,2026-05-10 18:21:48.965015,2026-05-10 18:21:56.920758,0 days 00:00:07.955743,30.032116764099683,64.08227421852399,24.079205944277515,68.16838112856156,-13.210685585690866,-12.199400932305915,-28.42606789357688,-38.72908444160317,80.95357934648811,-13.344026098844276,24.922264131661866,12.882091264256879,26.712631359948414,0,12.567311899620735,51.66975367791295,5.253863621686652,COMPLETE
58,1.2101282787669922,2026-05-10 18:21:56.920798,2026-05-10 18:22:04.539023,0 days 00:00:07.618225,31.454526531081765,61.35015380216963,25.215783440673416,67.61067238838598,-13.17885654781096,-12.20336682903321,-28.39461867432024,-39.381480861349694,80.09452965468523,-13.978493913404293,25.318452928769357,8.66039526302353,25.983283693708145,0,12.388200644109705,53.0470989782289,5.249506291818337,COMPLETE
59,1.1120159238282854,2026-05-10 18:22:04.539065,2026-05-10 18:22:11.886334,0 days 00:00:07.347269,38.02970572803076,67.77118781480947,25.28142668853373,74.59049341959293,-2.926801275813821,-10.025000336451475,-22.717751050977217,-36.714808284537405,69.33877594155734,-15.666221220043738,24.667397593282143,9.92348624586112,23.874426231692958,0,11.585887582910322,38.211864295387876,4.161377636167134,COMPLETE
60,1.190122699386503,2026-05-10 18:22:11.886374,2026-05-10 18:22:19.493664,0 days 00:00:07.607290,32.46554199947467,78.19344593470198,24.222981997658163,78.09283325757463,-7.122283660567408,-7.040663913653933,-30.833856891781856,-35.685894626982396,73.8849324956092,-18.11466500330644,28.96896377434347,12.521789160593618,27.20259961890239,0,12.647003164870918,68.3120039145776,2.0453199688706825,COMPLETE
