number,value,datetime_start,datetime_complete,duration,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_ladder_bonus,params_max_kept_repairs,params_max_kept_sabotages,params_rockfall_base,params_rockfall_gold_penalty,params_rockfall_ladder_bonus,params_rockfall_own_path_penalty,params_sabotage_cart_weight,params_sabotage_lamp_weight,params_sabotage_pickaxe_weight,state
38,0.5,2026-05-10 19:07:07.377758,2026-05-10 19:07:07.393334,0 days 00:00:00.015576,-1.3548992023431303,58.69008741970314,-12.103810631957172,-16.975799007666957,-30.920874576124362,-41.25498074156894,59.99904293709581,14.202802802304134,33.39582109150836,2,2,46.679022921013555,52.653814095937356,23.306677619643857,50.19688020917663,18.813636371598154,20.758133507067402,2.105872834438082,COMPLETE
39,0.5,2026-05-10 19:07:07.393371,2026-05-10 19:07:07.409011,0 days 00:00:00.015640,29.75097259161132,67.94223947931692,-39.91758976363277,-32.02027948822988,-23.467232683666747,-29.824846892149345,44.072480694159125,-2.8183723277414523,49.747754208660844,3,3,33.204816713338204,98.85754630115783,54.728898791639374,78.87526341901592,12.148028539726795,28.971738186333802,6.0384477016902345,COMPLETE
40,0.5,2026-05-10 19:07:07.409046,2026-05-10 19:07:07.424812,0 days 00:00:00.015766,21.549115723693703,56.75085343541988,-15.700510468448826,-29.21335578477028,-13.9988884515987,-46.11450626455928,64.75512386750988,0.043346043934645806,38.194083649514596,1,1,28.36142866288596,92.0348712724031,27.723651783120346,43.0988931155991,11.44417876083076,10.369130340623403,17.329528760909852,COMPLETE
41,0.5,2026-05-10 19:07:07.424845,2026-05-10 19:07:07.440254,0 days 00:00:00.015409,24.097929002531895,62.413609366671736,-5.119649152434709,-1.2308019192414172,-26.370316230369387,-40.45913147043449,36.841554484951025,7.612594369788925,43.38324663615622,3,1,12.989387646827474,10.529633186341957,47.27692018219243,24.970662041378272,21.573024372813762,16.65794340747913,14.34094357008346,COMPLETE
42,0.5,2026-05-10 19:07:07.440287,2026-05-10 19:07:07.455681,0 days 00:00:00.015394,27.94367391473894,76.4306876892687,-8.383712164629317,-4.340513178668508,-33.32993003218924,-49.64341732133487,48.47413576171439,3.9375856019416924,47.946253085216725,3,1,16.8443493197698,17.222840830475693,61.6801691425149,18.235250757472585,26.109756120067406,18.491509882909327,12.534524544607681,COMPLETE
43,0.5,2026-05-10 19:07:07.455717,2026-05-10 19:07:07.471600,0 days 00:00:00.015883,15.110177340245416,78.97937315148103,-3.73868170437479,-38.31937120639549,-17.783762004756532,-0.1469019115164798,55.03258670698788,-0.15373206805259182,45.6370363656346,3,1,23.614898568509844,14.467790313585407,35.980350794801126,32.46517661134869,22.634256668201083,22.209823507742836,9.15976976711657,COMPLETE
44,0.5,2026-05-10 19:07:07.471632,2026-05-10 19:07:07.486810,0 days 00:00:00.015178,20.73996149533995,73.88972127999637,-1.2285611381394532,-14.189008017390886,-8.314773398163528,-13.409878999800044,72.36038649603901,-6.430364274789086,47.63654990007106,2,3,14.670480579500063,27.25840908620909,22.638370307243314,53.752751784827076,16.329257703496896,19.636833816726146,13.461638623026259,COMPLETE
45,0.5,2026-05-10 19:07:07.486841,2026-05-10 19:07:07.502319,0 days 00:00:00.015478,18.14769262518647,22.936960244319586,-10.261797727080992,-8.315698606549718,-37.736614501948516,-46.220681764706995,66.12443363347667,-8.823006996561237,16.755722502220507,3,2,19.898954691983697,22.67785640259857,43.68510736143849,34.45151094175212,14.218141206551548,12.960965435086962,18.66574338004783,COMPLETE
46,0.5,2026-05-10 19:07:07.502351,2026-05-10 19:07:07.517781,0 days 00:00:00.015430,-7.429543447418105,67.62327685237875,-49.275592823857025,-3.534012381833229,-11.539852369435128,-5.907344565223995,61.4315118176297,-10.760849444455852,33.771117291637175,2,4,21.72153507739046,30.699707120689922,40.04332692146737,27.996425442751285,18.51788751484977,14.8662825557779,11.569537571590088,COMPLETE
47,0.5,2026-05-10 19:07:07.517812,2026-05-10 19:07:07.533496,0 days 00:00:00.015684,23.18431583805316,43.56151986744184,-18.888585191223015,-34.42930260114771,-5.132781414795131,-23.01926463663792,45.2327927197456,10.831052753868553,23.526884047654008,2,1,11.982400835996735,39.78340064072744,57.6613110264882,65.43760553686162,19.825095124775768,26.214533599304662,15.576636805085014,COMPLETE
48,0.5,2026-05-10 19:07:07.533536,2026-05-10 19:07:07.549013,0 days 00:00:00.015477,11.030126528389838,37.85611365239805,-12.135018292058671,-12.937943903792855,-15.857864354913254,-15.941260722170242,56.8890458207344,17.316724509786642,28.671734327605304,2,2,16.760489673043963,18.32503691522588,32.727708533551315,77.37191093816536,17.981868321701292,15.532353630316916,16.620826960462768,COMPLETE
49,0.5,2026-05-10 19:07:07.549045,2026-05-10 19:07:07.564355,0 days 00:00:00.015310,29.978300441918098,73.48508888343612,-40.79711681212954,-16.435272693836243,-2.362841054077241,-31.58725207511523,51.90955801957628,-15.175105219869403,40.86565981241532,1,2,39.9617443306226,67.89631634350494,55.949282490777236,61.009126421664874,6.182405675207486,17.8268215915623,7.410025760860629,COMPLETE
50,0.5,2026-05-10 19:07:07.564387,2026-05-10 19:07:07.579859,0 days 00:00:00.015472,25.357775792211292,50.54531823027371,-5.50973712486679,-23.59698011375292,-21.1064443413131,-36.827116038142876,83.85930181565512,-5.593104142099226,26.351840642063586,3,3,26.316537734717425,23.114354986532103,48.993660201876196,47.65129715191709,23.66049231010529,21.258621203552085,9.090077658607239,COMPLETE
51,0.5,2026-05-10 19:07:07.579892,2026-05-10 19:07:07.595986,0 days 00:00:00.016094,2.490880179924809,62.55099650506472,-9.401593124487587,-32.21503370909526,-27.43753235338447,-28.077871418483742,38.97481716411496,-2.4286957204702126,19.4815973730709,2,3,43.74898350718161,43.226836430063855,26.744380809547945,91.84078875264197,7.223292685376258,19.239924783336583,18.942747996159845,COMPLETE
52,0.5,2026-05-10 19:07:07.596018,2026-05-10 19:07:07.611568,0 days 00:00:00.015550,-2.731715015176775,54.60245981585375,-15.18192012666195,-30.48205667612457,-25.165115939689063,-35.17709581622516,36.60952261333713,3.1566823538062714,15.454265232426405,2,3,35.92131886257551,33.73681541777066,30.568795871540644,99.39900979824765,8.747106505946778,23.656431041730208,17.309844353769552,COMPLETE
53,0.5,2026-05-10 19:07:07.611599,2026-05-10 19:07:07.627446,0 days 00:00:00.015847,2.045408255107767,20.746544069056412,-29.99922022046899,-35.674293569800426,-6.857071723294788,-38.9689629796325,43.31833535852169,6.116121184619648,21.43622520474328,2,3,32.00298056596102,99.86390336378278,20.908744230454907,83.94702762544364,25.844933413536385,18.840855360769684,19.239065428123258,COMPLETE
54,0.5,2026-05-10 19:07:07.627478,2026-05-10 19:07:07.643914,0 days 00:00:00.016436,6.969569923299528,49.28522608356021,-17.444903344504684,-28.530171733925066,-29.47657416347741,-31.344505219299485,78.37074281942344,-11.923694543331644,9.237668682079164,2,4,40.99239961391659,56.02365394765246,25.170152347632815,94.64572838936519,5.803115532461406,11.622797118749652,18.017723801523868,COMPLETE
55,0.5,2026-05-10 19:07:07.643949,2026-05-10 19:07:07.660627,0 days 00:00:00.016678,-4.955192403835324,42.35890692425056,-37.0783478320614,-37.52242154391899,-19.644156130091098,-33.76545921457478,71.44121762835645,-18.90479394367328,14.328277206526634,2,3,11.152549353497594,46.096762103414974,29.191265908568074,71.34709888487295,20.86848597276422,14.255126056500405,18.499865968139204,COMPLETE
56,0.5,2026-05-10 19:07:07.660660,2026-05-10 19:07:07.676644,0 days 00:00:00.015984,28.169625800533684,28.194768957570904,-1.5055730801114589,-25.3862839453435,-48.50042314635511,-18.542544776320966,30.19230126843999,-4.415765854791728,23.065349125451817,2,1,38.59514160041827,96.5702946957586,22.434357579165823,87.24272197453298,10.906031822551597,17.086659682198828,4.453783611304043,COMPLETE
57,0.5,2026-05-10 19:07:07.676676,2026-05-10 19:07:07.692816,0 days 00:00:00.016140,20.356684248015032,46.87960462880784,-7.2070369551832245,-33.03101341899486,-10.932139027527583,-10.41291283293701,67.37438823694465,-6.570110850162749,18.982104807785493,2,3,46.094121268298196,60.10986676013262,34.99370227779812,95.3089095662713,21.58554544175545,15.915619588259098,11.831524243347538,COMPLETE
58,0.5,2026-05-10 19:07:07.692850,2026-05-10 19:07:07.708988,0 days 00:00:00.016138,14.894457683335594,25.85074664140442,-12.815577065131626,-21.791974662288016,-22.10226511511753,-3.6270775856906106,62.030137402887284,-1.2377058053787278,35.28446382934756,2,1,30.720409809138737,89.47473625601785,52.04270407986306,57.17735446486423,9.329568525483182,9.090028507057324,16.667424581911582,COMPLETE
59,0.5,2026-05-10 19:07:07.709020,2026-05-10 19:07:07.725066,0 days 00:00:00.016046,22.73726870078627,67.85938357558652,-8.685720430601789,-30.91962655923755,-36.3168177065464,-22.52691402752204,76.04058511918738,6.824521589719939,49.94661146799096,2,3,29.03596756872315,30.43890856649022,62.02693963119043,75.16853153398306,19.71485728717511,6.259973578794215,12.975603545546615,COMPLETE
60,0.5,2026-05-10 19:07:07.725099,2026-05-10 19:07:07.741068,0 days 00:00:00.015969,16.61791760853792,32.707910409799084,-23.740123867946547,-39.858848411108646,-31.983917025753442,-29.984232763129985,40.27417773576668,5.05022470653971,25.87433184160072,1,2,43.760778174814014,83.3976716308393,25.862818471433897,51.347081133771724,6.83747370357622,25.41775138864671,13.943991307987428,COMPLETE
